   9 __________	__________
   6 Le	point
   6 Le	Point
   4 un	compte
   4 de	la
   4 d	une
   4 Vous	ne
   3 un	contenu
   3 ne	pouvez
   3 n	est
   3 le	22
   3 est	Vous
   3 du	Point
   3 de	passe
   3 contenu	abusif
   3 au	Tchad
   3 ____________________________________________________________	____________________________________________________________
   3 ____________________	Votre
   3 Vous	avez
   3 Tous	les
   3 Signaler	un
   3 LePoint	fr
   3 Envoyer	BUTTON
   3 Connectez	vous
   3 Abonnez	vous
   3 22	09
   2 utils	noscript
   2 une	Europe
   2 un	pseudo
   2 un	projet
   2 tagcommander	com
   2 sur	le
   2 sur	la
   2 socialistes	l
   2 service	est
   2 redirect2217	tagcommander
   2 qui	a
   2 qu	un
   2 pouvez	plus
   2 point	Le
   2 plus	contributions
   2 php	id
   2 personne	ne
   2 passeport	diplomatique
   2 pas	encore
   2 nous	sommes
   2 noscript	php
   2 ne	lira
   2 ne	Consulter
   2 mode	iframe
   2 mail	____________________
   2 lors	de
   2 lira	le
   2 le	manifesto
   2 la	charte
   2 la	France
   2 l	instant
   2 est	un
   2 est	pas
   2 est	obligatoire
   2 e	mail
   2 du	parti
   2 du	commentaire
   2 de	maquillage
   2 de	Benalla
   2 d	un
   2 contributions	ne
   2 compte	Facebook
   2 commentaire	est
   2 com	utils
   2 charte	de
   2 celle	ci
   2 ce	n
   2 cactus	22
   2 c	est
   2 avez	un
   2 avant	de
   2 aux	favoris
   2 abusif	Par
   2 a	d
   2 Vive	la
   2 Veuillez	saisir
   2 Tech	Net
   2 Point	Pop
   2 Point	Politique
   2 Patrick	Kanner
   2 Par	cactus
   2 Mot	de
   2 Le	Parti
   2 IFRAME	redirect2217
   2 Envoyer	Annuler
   2 En	continu
   2 Emmanuel	Maurel
   2 Consulter	la
   2 Chez	les
   2 Ce	service
   2 Benalla	au
   2 Ajouter	aux
   2 22	le
   1 y	croit
   1 y	a
   1 wauquier	bon
   1 voyage	de
   1 vous	plus
   1 vous	ne
   1 vous	devez
   1 vous	avez
   1 vous	Vous
   1 vous	Mot
   1 vous	Le
   1 vous	La
   1 vous	Achetez
   1 voulons	peser
   1 votre	commentaire
   1 vos	contenus
   1 visite	au
   1 vin	Le
   1 vient	candidat
   1 veut	conduire
   1 vente	actuellement
   1 utilisation	Ce
   1 utiles	FAQ
   1 univers	du
   1 une	scission
   1 une	nette
   1 une	liste
